address,avg_gas,bytecode_len,distinct_tokens,exploit_score,log_tvl,token_transfer_count,total_tvl_usd,tx_count,unique_byte_pairs,unique_callers
0x8850d2c68c632e3b258e612abaa8fada7e6958e5,69674.88687845528,10804,14,1.3180659326660795,7.3497347419935375,1512,22373540.919094443,432853,250,202599
0x30ebffd6600df29373046a66ce10c5890029bbbf,863170.3906823184,9229,1,1.3180197287530404,5.088796574311002,957,122685.44271666667,2726,249,486
0x00000000025efadc0b8d17d3d87ab5056e3d2510,550118.8776904681,7245,6,1.3179393039915868,7.4354901364463775,2848,27257757.31300166,2927,232,878
0xc9ad37e9baf41377540df5a77831db98c1915128,201065.6549250969,20648,4,1.317763602887222,5.007248484399763,3104,101682.03125131177,69156,255,31248
0xfa43de785dd3cd0ef3dae0dd2b8be3f1b5112d1a,629355.4752682544,23207,4,1.317609195354856,4.061734297584223,3581,11526.477881506247,3821,256,1434
0x14d7bf543d4c3a29fc0a3df1d815f698a914368b,236016.6094671495,18851,3,1.3175286622282438,5.7949682750013665,841,623688.2736231416,19330,254,8523
0x4f1a6fc6a7b65dc7ebc4eb692dc3641be997c2f2,108441.5420746634,8794,9,1.3175025343358076,7.1130859295505555,1193,12974358.564000932,45752,252,33493
0xfa715e7c8fa704cf425dd7769f4a77b81420fbf2,525343.559375,16311,2,1.317471064116685,7.341424009912348,1622,21949467.57689914,640,253,153
0x898b06a6fe4b4ad4121bb667d97fb1432120dff9,352742.077970297,16131,1,1.3174330181900966,6.2119817876841905,800,1629226.7088802499,808,256,813
0x0600445ac4e20f1668556e0e058b3dc369d96162,1184355.6312399355,5380,1,1.3174011454070278,5.592968041822743,502,391712.05128509155,621,236,218
0xe63d2180a7de06c5e2af9ac80122537557b49567,2907588.3699421966,2112,2,1.3173252024247804,7.356614957449522,368,22730811.386798654,173,200,50
0x78dda21af857ab8d0b3780f996ad53046161733f,619228.2817120623,21743,1,1.3172015911813661,6.751614998406162,2612,5644362.807090426,1285,256,147
0xa1436ada35e593d2376dde8e2678d3e88714171c,417369.0300500835,12925,1,1.3171771887005885,6.695452143839215,610,4959661.724315872,599,254,379
0xe1c5dc4d2f63b39c611a9d75c23dbc85d9146e46,176423.12859174964,17348,1,1.3171716720445388,7.497850320290082,3882,31466635.287280984,7030,256,3202
0xa38898a4ae982cb0131104a6746f77fa0da57aaa,98425.1612307589,10875,14,1.3171588381629888,6.7790075453398275,3005,6011840.822384799,59573,255,44994
0x44a05e91f6ef50f4d9602a16f05f341ba380fbb5,1150063.1643835616,10090,1,1.3170838569280432,4.883537879267952,61,76477.23900317914,73,256,52
0x23125108bc4c63e4677b2e253fa498ccb4b3298b,96820.01696432602,20013,18,1.3168410787585927,6.510303247042214,1664,3238195.8578962227,132926,250,94551
0x9a515ff53f38185b1f2aed81685c22953092fb3b,908620.401098901,15334,11,1.316826249563644,6.410351394542237,2008,2572475.3723036437,728,255,61
0xb2b1d88aa427c2e1849e6d9ab2169d57f91c4fb3,715791.591583952,4451,1,1.316816519791021,5.714401610608789,1865,518084.70642232016,23978,234,2041
0xe62c4454d1dd6b727eb7952888b31a74969086b8,658138.8849176647,19830,5,1.3167453330471819,5.501725197051233,4854,317485.4516639665,5344,256,430
0x7c16abb090d3fb266e9d17f60174b632f4229933,1143686.683303887,2739,1,1.3164844744653241,7.448064521732927,17,28058503.63157384,36224,193,3062
0x1a6a71f07d85f3aa76baa5616a7bda3ccf7e68a5,1175205.6603995299,8347,1,1.316462353373954,3.7685422828123403,440,5867.705044167283,1702,255,259
0xcd03b3757bc956e312f639da1661d18db7e72ed7,329170.83558696986,10060,2,1.3164410813098901,6.732903273462613,1538,5406337.989680684,3254,253,1014
0xb61ac631b0979831c94e9a66e02e291a0c90401b,382745.232967033,16131,1,1.3163398707235965,6.229064687617022,450,1694589.1887283332,455,256,461
0xc196e98f3d0c2e973a33b0f7768ee501dec43350,443530.97386037617,14166,2,1.3161275846913318,4.695192481246008,3855,49565.98252008633,3137,254,1828
0x184079ca987f562ae6a0c59f4be5cadb20323863,114200.88548674996,11732,6,1.316084351496837,6.478880723221273,2684,3012177.630974453,36415,256,26033
0x0321394309cad7e0e424650844c3ab3b659315d3,125097.28526049237,23957,4,1.3159880657056249,6.153760862452876,3971,1424821.8208860378,66739,256,30546
0x5314eb15e1da83bfbdc49e46dcf70277403fc40d,487856.80545436643,19023,2,1.315878557928558,5.586555101299904,821,385970.37877362804,10157,256,883
0x99e4ffee5367592a82b5d4be6f30144f400388fc,425295.3955052963,15551,1,1.3158732162906082,4.459019886527466,3495,28774.301750391227,6986,254,2885
0x86c4da96d8a9d6307dec26d937b2cc9044690883,858112.1472868217,11129,2,1.3158537405482524,5.1471951334003485,20,140343.41461750516,258,254,119
0x0fc85d9f186a01a8b315cf23dcf1a0cbdf1a9ccb,505187.02063273726,22537,1,1.3157878761455972,5.122042406215176,98,132446.08554057038,1454,255,689
0x30d22da999f201666fb94f09aedca24419822e5c,455179.7649062259,18148,1,1.3157281756723038,6.728227979955019,3915,5348449.490135649,22021,256,559
0x799ea58d15429fa7c42cc211e2181fd4ef54ec37,351010.38156622625,10060,2,1.3156947872925542,6.451632220078163,1427,2828994.261848659,3103,253,917
0xb82e32062c773c7748776c06fdb11b92edae3b63,283835.230877193,19227,1,1.315641754931571,7.296037928298607,774,19771422.02607752,1425,256,552
0xf1741860c7c516f53f93de3373669e87f431e82f,648878.8900692097,6345,3,1.3155488338747048,6.130237063168303,2290,1349698.4259370235,6213,227,1704
0x6da24602756d5c6177dd3090953f8e2e9e39f42b,926223.3566058002,7857,1,1.3155177893958163,4.43610156366416,463,27295.160533960156,931,250,292
0x77d395aaf751a86a9c104ca3190462c24979ffa2,464223.50083111704,24532,2,1.3155006610584052,5.896119056442326,3697,787260.5781070804,12032,256,786
0x0dfcb45eae071b3b846e220560bbcdd958414d78,89945.2696639407,16795,9,1.3154458592956886,6.480003499700119,3235,3019975.0563501315,154318,256,63519
0xdf5fac537aa09e1eb0f3f8dd1d34cbdc42ca1076,126443.93440834717,18037,3,1.3153632613552766,6.688648332015248,3452,4882567.354720848,21085,256,13139
0x24303f9a288055181ff62a57ae719770087846c2,559771.9592964824,15910,1,1.3151899467727226,5.5917297749207835,1253,390596.78388204594,13930,256,605
0x4b35477fbd000341ab4136b1af4d606d0a36b64b,1009993.5,9891,1,1.3151626897819328,4.178958270311433,2,15098.350633333337,352,253,165
0xa13303a31549380faee49f64c8eea8a026c550e8,1067141.8240963856,21743,2,1.315109780687066,5.882146228943431,1754,762334.6487257446,415,256,35
